// Note : 키(ID)와 내용은 반드시 탭으로 구분되어야 합니다.
//
IN_000_000	Swords [Dex]
ID_001_217	
IN_000_001	Freshman Stick
ID_001_218	
IN_000_002	Wooden Sword
ID_001_219	
IN_000_003	Japanese Sword
ID_001_220	
IN_000_004	Jasper Sword
ID_001_221	
IN_000_005	Bamboo Sword
ID_001_222	
IN_000_006	Steel Sword
ID_001_223	
IN_000_007	Warrior Sword
ID_001_224	
IN_000_008	Damascus Sword
ID_001_225	
IN_000_009	Sharp Sword
ID_001_226	
IN_000_010	Catling Sword
ID_001_227	
IN_000_011	Medium Broad Sword
ID_001_228	
IN_000_012	Broad Sword
ID_001_229	
IN_000_013	Lava Sword
ID_001_230	
IN_000_014	Dragon Swrd
ID_001_231	
IN_000_015	Solar Sword
ID_001_232	
IN_000_016	GanJiang Sword
ID_001_233	
IN_000_017	ChuWang Sword
ID_001_234	
IN_000_018	JuJue Sword
ID_008_010	
IN_000_019	TianWu Sword
ID_008_011	
IN_000_020	Double Medium Sword
ID_008_012	
IN_000_021	ChuLong Sword
ID_061_021	
IN_001_000	Event Items
ID_061_024	
IN_001_001	Heavy Double BaGua Blade
ID_061_025	
IN_001_002	Shen Mo Ring
ID_061_026	
IN_001_003	Heavy Iron Bracers
ID_065_060	
IN_001_004	Practice Bow
ID_065_061	
IN_001_005	Double-Medium Sword
ID_065_062	
IN_001_006	QiXing Gloves
ID_111_026	
IN_001_007	Heavy Wood Practice Bow
ID_111_027	
IN_001_008	Heavy Gold Spear
ID_111_034	
IN_001_009	Shadow Staff
ID_111_035	
IN_001_010	Heavy PiLong Dagger
ID_127_275	
IN_001_011	Heavy QingWu Bracers
ID_127_277	
IN_001_012	TianChui Bow
ID_127_289	
IN_001_013	BaiYou Sword
ID_127_292	
IN_001_014	Tough Gauntlets
ID_128_001	
IN_001_015	Tian Wu Bow
ID_128_002	
IN_001_016	Yue Huan Spear
ID_128_003	
IN_001_017	QingLun Staff
ID_128_004	
IN_001_018	Rice Dumpling
ID_128_005	
IN_001_019	Realgar
ID_128_006	
IN_001_020	Fragrance Sachet Box
ID_128_007	
IN_001_021	Fragrance Sachet
ID_128_008	
IN_001_022	Police Emblem Fragment
ID_128_009	
IN_001_023	Police Emblem
ID_128_010	
IN_001_024	Police Emblem Gift Box
ID_128_011	
IN_001_025	Temp
ID_128_012	
IN_001_026	Temp
ID_128_013	
IN_001_027	Chicken-Fried Rice Meal
ID_128_014	
IN_001_028	Hi-Life Onion Chicken
ID_128_015	
IN_001_029	BBQ Rice
ID_128_016	
IN_001_030	HiLife according to burns leg platoon
ID_128_017	
IN_001_031	Oyster Rice
ID_128_018	
IN_001_032	HiLife oyster oil forks fever
ID_128_019	
IN_001_033	Blank
ID_128_020	
IN_001_034	Blank [M]
ID_128_021	
IN_001_035	Blank [M]
ID_128_022	
IN_001_036	Blank [M]
ID_128_023	
IN_001_037	Blank [M]
ID_128_024	
IN_001_038	Blank [F]
ID_128_025	
IN_001_039	Blank [F]
ID_128_026	
IN_001_040	Blank [F]
ID_128_027	
IN_001_041	Blank [F]
ID_128_028	
IN_001_042	Blank [F]
ID_128_029	
IN_001_043	Surfing [M]
ID_128_030	
IN_001_044	Surfing [M]
ID_128_031	
IN_001_045	Surfing [M]
ID_128_032	
IN_001_046	Surfing [M]
ID_128_034	
IN_001_047	Surfing [M]
ID_128_035	
IN_001_048	Devil Wing [F]
ID_128_036	
IN_001_049	Devil Wing [F]
ID_128_039	
IN_001_050	Devil Wing [F]
ID_128_040	
IN_001_051	Devil Wing [F]
ID_128_041	
IN_001_052	Devil Wing [F]
ID_128_042	
IN_001_053	Devil's Letter
ID_128_044	
IN_001_054	Angel's Letter
ID_128_045	
IN_001_055	Seventh Evening Chocolates
ID_128_048	
IN_001_056	Bridegroom Suit Gift Box [M] [3D]
ID_128_049	
IN_001_057	Bridal Gown Gift Box [F] [3D]
ID_128_050	
IN_001_058	Magpie Food
ID_128_051	
IN_001_059	Ninja Eyeshades
ID_128_052	
IN_001_060	Bastard Vital Sword
ID_128_053	
IN_001_061	White Dragon's Vital Sword
ID_128_054	
IN_001_062	Vital Iron Cestus
ID_128_055	
IN_001_063	Vital Angled Cestus
ID_128_056	
IN_001_064	Guardian's Long Vital Bow
ID_128_057	
IN_001_065	Vital Bow of Heaven
ID_128_058	
IN_001_066	 
ID_128_059	
IN_001_067	 
ID_129_005	
IN_001_068	 
ID_129_063	
IN_001_069	 
ID_129_076	
IN_001_070	 
ID_129_091	
IN_001_071	 
ID_129_092	
IN_001_072	 
ID_300_026	
IN_001_073	 
ID_300_033	
IN_001_074	 
ID_300_039	
IN_001_075	 
ID_300_045	
IN_001_076	 
ID_301_298	
IN_001_077	 
ID_301_301	
IN_001_078	 
ID_301_304	
IN_001_079	 
ID_301_307	
IN_001_080	 
ID_301_310	
IN_001_081	 
ID_301_313	
IN_001_082	 
ID_301_316	
IN_001_083	 
ID_301_319	
IN_001_084	 
ID_301_322	
IN_001_085	 
ID_301_325	
IN_001_086	 
ID_301_328	
IN_001_087	 
ID_301_331	
IN_001_088	 
ID_301_334	
IN_001_089	 
ID_301_337	
IN_001_090	 
ID_301_340	
IN_001_091	 
ID_301_343	
IN_001_092	New Student Starter Kit
ID_301_346	
IN_001_120	Purplish Dragon Swrd(15D)
ID_301_349	
IN_001_121	Purplish Lite Dragon Swrd(15D)
ID_301_352	
IN_001_122	Purplish Slayer Dag.(15D)
ID_301_355	
IN_001_123	Purplish Ugrd. Iron Bow(15D)
ID_301_405	
IN_001_124	Purplish Spar Aly Bow(15D)
ID_301_408	
IN_001_125	Purplish Spar Lite Aly Bow(15D)
ID_301_411	
IN_001_126	Purplish Spirits Spear(15D)
ID_301_432	
IN_001_127	Purplish Dragon Wand(15D)
ID_301_435	
IN_001_128	Purplish Tough Glv(15D)
ID_301_438	
IN_001_129	Purplish Lite Tough Glv(15D)
ID_303_052	
IN_001_130	Purplish Hvy. Tough Glv(15D)
ID_303_053	
IN_001_131	Purplish Dragon Swrd Box(15D)
ID_306_044	
IN_001_132	Purplish Lite Dragon Swrd Box(15D)
ID_306_120	
IN_001_133	Purplish Slayer Dag.Box(15D)
ID_306_206	
IN_001_134	Purplish Ugrd. Iron Bow Box(15D)
ID_315_098	
IN_001_135	Purplish Spar Aly Bow Box(15D)
ID_320_030	
IN_001_136	Purplish Spar Lite Aly Bow Box(15D)
ID_320_032	
IN_001_137	Purplish Spirits Spear Box(15D)
ID_320_039	
IN_001_138	Purplish Dragon Wand Box(15D)
ID_320_040	
IN_001_139	Purplish Tough Glv Box(15D)
ID_320_041	
IN_001_140	Purplish Lite Tough Glv Box(15D)
ID_320_042	
IN_001_141	Purplish Hvy. Tough Glv Box(15D)
ID_320_043	
IN_001_142	Snake gallbladder [15D]
ID_320_044	
IN_001_143	Exorcist Ring [15D]
ID_320_045	
IN_001_151	Astral Fragment[15D]
ID_320_046	
IN_001_152	Astral Gravel[15D]
ID_320_047	
IN_001_153	Beverage Bottle[30D]
ID_320_048	
IN_001_154	Pearled[30D]
ID_320_049	
IN_001_175	Pumkin Neckwear[15D]
ID_320_050	
IN_001_176	Halloween Candy[15D]
ID_320_051	
IN_001_177	Halloween Necklace[30D]
ID_320_052	
IN_001_181	X_Mas RandomBox[7D]
ID_320_053	
IN_001_182	XMas Special Hat[M][15D]
ID_320_054	
IN_001_183	XMas Special Hat[F][15D]
ID_320_055	
IN_001_184	Christmas Ticket[15D]
ID_320_056	
IN_001_185	Red Socks[15D]
ID_320_057	
IN_001_186	Blue Socks[15D]
ID_320_058	
IN_001_187	Christmas Themed Gift Box [F] [15D]
ID_320_059	
IN_001_188	Christmas Shirt [F] [15D]
ID_320_060	
IN_001_189	Christmas Mini-skirt [F] [15D]
ID_320_061	
IN_001_190	Christmas Long Boots [F] [15D]
ID_320_062	
IN_001_191	Christmas Hat [F] [15D]
ID_320_063	
IN_001_192	Christmas Box [M] [15D]
ID_320_064	
IN_001_193	Christmas Cloth [M] [15D]
ID_320_065	
IN_001_194	Christmas Pant [M] [15D]
ID_320_066	
IN_001_195	Christmas Shoe [M] [15D]
ID_320_067	
IN_001_196	Chritmas Hat [M] [15D]
ID_320_068	
IN_001_197	Sword of Brave Heart
ID_320_069	
IN_001_198	Vital Sword of Brave Heart
ID_404_001	
IN_001_199	Blade of Four Dragons
ID_404_003	
IN_001_200	Bow of Clearness
ID_404_016	
IN_001_201	Bow of Cannon String
ID_404_096	
IN_001_202	Bow of Vital String
ID_450_027	
IN_001_203	Spear of Soul Crasher
ID_450_064	
IN_001_204	Wand of Four Seas
ID_450_069	
IN_001_205	Gauntlet of Calmness
ID_450_143	
IN_001_206	Gauntlet of Spirit
ID_450_144	
IN_001_207	Gauntlet of Vicious Lightning
ID_450_145	
IN_001_208	Spin Gun
ID_450_146	
IN_001_209	Platinum Railgun
ID_450_147	
IN_001_210	Platinum Portal Gun
ID_450_148	
IN_001_211	Machine Gun
ID_450_149	
IN_001_212	Splash Railgun
ID_450_150	
IN_001_213	Splash Portal Gun
ID_450_151	
IN_001_214	Hyper Gun
ID_450_152	
IN_001_215	Chaos Railgun
ID_450_155	
IN_001_216	Chaos Portal Gun
ID_451_091	
IN_001_217	Arrase's Rake Havoc Dual Blade
ID_454_012	
IN_001_218	Arrase's Rake Scythe
ID_454_015	
IN_001_219	Arrase's Rake Shuriken
ID_458_387	
IN_001_220	Luthium Xeraphyn Soul Slasher Dual Blade
ID_458_389	
IN_001_221	Luthium Xeraphyn Scythe
ID_458_391	
IN_001_222	Luthium Xeraphyn Shuriken
ID_458_393	
IN_001_223	Saintroll Rake Havoc Dual Sword
ID_459_019	
IN_001_224	Saintroll Rake Scythe
ID_459_020	
IN_001_225	Saintroll Rake Shuriken
ID_459_021	
IN_001_226	Antique Cube
ID_459_028	
IN_001_227	Anchor Whip
ID_459_029	
IN_001_228	Tower Magic Wand
ID_459_030	
IN_001_229	Doom Cube
ID_459_031	
IN_001_230	Blade Whip
ID_459_037	
IN_001_231	Blade Magic Wand
ID_459_038	
IN_001_232	Royal Cross Cube
ID_459_039	
IN_001_233	Phantom Whip
ID_459_040	
IN_001_234	Phantom Magic Wand
ID_459_041	
IN_002_000	Bead Items
ID_459_042	
IN_002_001	Soul Retriever Ball
ID_459_043	
IN_002_002	Red Firecracker
ID_459_044	
IN_002_003	Yellow Firecracker
ID_459_045	
IN_002_004	Blue Firecracker
